OBJECTID,INDEX_NUM,OBSERVER,SPECIES,SCIENTIFIC,TOWN,ROAD_INTER,SPECIFIC_L,COMMENTS,N_GPS_COOR,W_GPS_COOR,LAND_COVER,LAND_COV2,PROXIMITY_,LIVE_SIGHT,ROADKILL,OTHER,COUNTY_G,PLOTBY_X,PLOTBY_Y,DATE_,HOUR,LAT,LONG
28,28,EAH,Eastern gray squirrel,Sciurus carolinensis,Southeast,Maple Rd.,"Maple Rd, along Middle Branch reservoir at Enoch Crosby",,41 24 19.78,73 38 46.29,SNH,"house, lawn",,1,0,0,Putnam,613157.3409,4584657.261,6/20/2000,1200,41.4055,-73.6462
29,29,EAH,Virginia opossum,Didelphis virginiana,Somers,Rt 6,"US Rt 6, just west of Westchester/Putnam line, Mahopac R","Plot on map; Rt 6, .8mi east of Rt 6N in somers",data_nad27.shp,data_nad27.shp,SNH,,,0,1,0,Westchester,602918.9016,4576962.584,6/20/2000,1400,41.33758096,-73.76996907
30,30,EAH,Woodchuck,Marmota monax,Ramapo,Harriman Park,"Seven Lakes Drv, south end of Harriman Park",,41 10 21.15,74 10 19.8,Oak forest,lawn along road,n/a,1,0,0,Rockland,569437.7499,4558236.724,6/20/2000,1515,41.1725,-74.1722
31,31,EAH,Eastern gray squirrel,Sciurus carolinensis,Lewisboro,Rt 35,"Rt 35, 1 mi west of state line",,41 15 59.97,73 32 33.78,deciduous forest,,n/a,0,1,0,Westchester,622067.5373,4569387.99,6/20/2000,800,41.2667,-73.5427
32,32,EAH,Eastern gray squirrel,Sciurus carolinensis,Carmel,Rt 301,"Rt 301, along north side of reservoir",Point taken .4mi from sighting,41 25 52.83,73 42 31.59,SNH,reservoir,,0,1,0,Putnam,607882.0956,4587441.713,6/20/2000,1105,41.4313,-73.7088
33,33,Local rad,Black bear,Ursus americanus,Newburgh,Gardnertown Rd,"Gardnertown Rd, in Newburgh","Announcement of radio of local bear sighting, plot o",data_nad27.shp,data_nad27.shp,,,,1,0,0,Orange,578914.7238,4597857.721,6/20/2000,0,41.52847784,-74.05408269
34,34,EAH,Eastern gray squirrel,Sciurus carolinensis,La Grange,Rt 21,Rt 21 at LaGrange town line,,41 39 01.67,73 44 36.6,residential,,n/a,0,1,0,Dutchess,604628.8083,4611735.341,6/20/2000,1000,41.6505,-73.7435
35,35,EAH,Common raccoon,Procyon lotor,Cortlandt,Rt 6,"US Rt 6 at Mohegan Lake, near West Brook Dr.",,41 19 4.88,73 57 32.88,residential,decid woods ~100 ft away,n/a,0,1,0,Westchester,587119.8126,4574581.572,6/20/2000,1430,41.318,-73.9591
36,36,EAH,Woodchuck,Marmota monax,Montgomery,Rt 17K,"17K at Scott's corner, just east of town of Montgo",,41 31 31.2,74 11 55.2,old field/parking lot,SNH/oak,n/a,0,1,0,Orange,566852.9506,4597382.94,6/5/2000,1545,41.5253,-74.1987
37,37,EAH,Virginia opossum,Didelphis virginiana,Crawford,Rt 17K,17K east of Rt 47 near Highland Farm Equine Nusery,,41 31 57.3,74 18 7.0,successional northern hdwd,pasture,n/a,0,1,0,Orange,558236.3077,4598118.699,6/5/2000,1530,41.5326,-74.3019
38,38,EAH,Virginia opossum,Didelphis virginiana,Crawford,Rt 17K,17K just east of Rt 302 in Bullville,,41 32 27.9,74 21 19.2,small oak stand,field and parking lot,n/a,0,1,0,Orange,553774.5527,4599027.762,6/5/2000,1515,41.5411,-74.3553
39,39,EAH,Eastern gray squirrel,Sciurus carolinensis,Montgomery,Rt 17K,17K just east of Rt 208,,41 31 31.8,74 11 50.1,old field,,n/a,0,1,0,Orange,566977.8912,4597406.306,6/5/2000,1550,41.5255,-74.1972
40,40,EAH,Woodchuck,Marmota monax,Newburgh,Rt 32,Rt 32 N of Rossville before Ulster Co border.  Seen alon,Point taken ~100yds north of GPS point,41 35 47.6,74 04 17.0,Old field,,n/a,1,0,0,Orange,577388.6546,4605405.119,6/5/2000,1630,41.5966,-74.0714
41,41,EAH,Eastern gray squirrel,Sciurus carolinensis,Montgomery,Rt 17K,17K between Maple Ave and N. Drury Ln just west of town,,41 31 34.0,74 08 18.3,SNH both sides of road,,n/a,0,1,0,Orange,571882.9761,4597520.16,6/5/2000,1605,41.5261,-74.1384
42,42,EAH,Eastern gray squirrel,Sciurus carolinensis,Montgomery,Rt 17K,17K just into west side of village of Coldenham,,41 31 30.0,74 09 35.9,old field/SNH,residential,n/a,0,1,0,Orange,570082.0668,4597380.295,6/5/2000,1600,41.525,-74.16
43,43,EAH,Woodchuck,Marmota monax,Gardiner,Rt 208,"Rt 208 N of 44/55, Phillie Bridge Rd.",Point taken along road .1mi north of sighting,41 41 19.7,74 07 36.0,successional northern hardwo,,n/a,1,0,0,Ulster,572676.2778,4615593.367,6/5/2000,1930,41.6888,-74.1267
44,44,EAH,Virginia opossum,Didelphis virginiana,Marlborough,Rt 9W,"Rt 9W, ~3mi south of Milton Tpk (Rt 10)",,41 37 4.0,73 57 51.4,mowed lawn,"Decid woods, some oak, some succe",n/a,0,1,0,Ulster,586286.1248,4607860.401,6/5/2000,2030,41.6178,-73.9643
45,45,EAH,Eastern gray squirrel,Sciurus carolinensis,Plattekill,off Freetown Hwy,"KOA campground, Site #9, Freetown Hwy off Rt32",,41 38 19.1,74 06 05.9,oak-hickory,,n/a,1,0,0,Ulster,574823.2255,4610041.446,6/5/2000,1730,41.6386,-74.1016
46,46,EAH,Striped skunk,Mephitis mephitis,Lloyd,Rt 299,Rt 299 east of 22A near Park Lane,Check township,41 44 14.4,74 01 51.6,SNH/old field,mowed grass on other side of road,n/a,0,1,0,Ulster,580579.9418,4621063.252,6/5/2000,2000,41.7373,-74.031
47,47,EAH,Virginia opossum,Didelphis virginiana,Lloyd,Rt 299,Rt 299 east of 22A near Park Lane,Point taken 50ft east of sighting; Check township; s,41 44 14.4,74 01 51.6,SNH along road with old fiel,old field and parking lot,n/a,0,1,0,Ulster,580579.9418,4621063.252,6/5/2000,2000,41.7373,-74.031
48,48,EAH,Eastern gray squirrel,Sciurus carolinensis,Lloyd,Rt 299,"Rt 299, 50ft west of Ose and Riverridge Rds",,41 44 42.4,73 59 2.1,SNH,some old field,n/a,0,1,0,Ulster,584486.4963,4621974.428,6/5/2000,2010,41.7451,-73.9839
49,49,EAH,Woodchuck,Marmota monax,Lloyd,Rt 299,Rt 299 east of New Paltz road near state police; .4mi we,"GPS point manually corrected on map, ~100m north",41 44 26.5,73 59 47.6,SNH,other side:mix of SNH and houses,n/a,0,1,0,Ulster,583436.203,4621473.522,6/5/2000,2005,41.7407,-73.9966
50,50,EAH,Virginia opossum,Didelphis virginiana,New Paltz,Rt 208,Rt 208 near Edgewood Dr.,Check township,41 43 13.5,74 06 26.3,old field w/ trees along roa,residential on other side of road,n/a,0,1,0,Ulster,574254.3971,4619118.297,6/5/2000,1940,41.7204,-74.1073
51,51,EAH,Eastern gray squirrel,Sciurus carolinensis,Orangetown,Rt 9W,Rt 9W southbound s. of TappanZee,Point taken .4mi south of sighting,41 02 25.6,73 55 14.3,"mostly houses, some trees",,n/a,0,1,0,Rockland,590724.4908,4543803.008,6/6/2000,1240,41.0404,-73.9206
52,52,EAH,Striped skunk,Mephitis mephitis,Woodbury,Rt 32,"Rt 32, just north of village of woodbury/Central Valley",Point taken .2mi north of sighting; Check latitude v,41 21 74.5,74 06 36.8,Residential (edge of town),some oak-maple woods,n/a,0,1,0,Orange,574413.0841,4580291.518,6/6/2000,1630,41.3707,-74.1102
53,53,EAH,Virginia opossum,Didelphis virginiana,Woodbury,Rt 32,Rt 32 near Thruway overpass in woodbury,,41 22 47.4,74 05 54.0,old field with trees along r,residential,n/a,0,1,0,Orange,575397.7696,4581312.07,6/6/2000,1640,41.3798,-74.0983
54,54,EAH,Common raccoon,Procyon lotor,Cornwall,Rt 32,Rt 32 in the village of Mountainview,,41 23 57.4,74 04 44.6,"Decid: aspen, oak, maple",residential,n/a,0,1,0,Orange,576980.2325,4583493.819,6/6/2000,1645,41.3993,-74.0791
55,55,EAH,Virginia opossum,Didelphis virginiana,Cornwall,Rt 32,Rt 32 just north of junction with Rt 79,,41 24 32.0,74 04 18.3,deciduous forest,,n/a,0,1,0,Orange,577587.4018,4584566.205,6/6/2000,1650,41.4089,-74.0717
56,56,EAH,Striped skunk,Mephitis mephitis,New Windsor,Rt 32,Rt 32 just north of Rt 69,,41 29 31.9,74 01 56.9,commercial,,n/a,0,1,0,Orange,580760.3953,4593850.043,6/6/2000,1700,41.4922,-74.0325
57,57,EAH,Striped skunk,Mephitis mephitis,Newburgh,Rt 32,"Rt 32 north of Newburgh, south of Rt 300",,41 31 48.2,74 02 07.7,Edge of town: residential/co,successional woods,n/a,0,1,0,Orange,580463.0235,4598054.953,6/6/2000,1715,41.5301,-74.0355
58,58,EAH,Striped skunk,Mephitis mephitis,Newburgh,Rt 32,Rt 32 ~2 mi north of Newburgh,Point taken 1.5 mi south of sighting,41 31 48.2,74 02 07.7,Residential,,n/a,0,1,0,Orange,580463.0235,4598054.953,6/6/2000,1720,41.5301,-74.0355
59,59,EAH,Eastern gray squirrel,Sciurus carolinensis,Cortlandt,Rt 9,"Rt 9 southbound, 1mi north of exit for 9A to Montrose",,41 15 0.8,73 55 25.0,"Trees along road:oak,locust,",,n/a,0,1,0,Westchester,590184.3982,4567090.833,6/6/2000,1115,41.2502,-73.9236
60,60,EAH,Eastern gray squirrel,Sciurus carolinensis,Clarkstown,Rt 59,Rt 59 westbound in W. Nyack just east of Crosfield Rd.,,41 05 29.0,73 58 31.5,Oak forest,"residential, wooded",n/a,0,1,0,Rockland,586051.9155,4549409.148,6/6/2000,1420,41.0914,-73.9754
61,61,EAH,Virginia opossum,Didelphis virginiana,East Fishkill,Taconic Pkwy,Taconic southbound,Point taken .6mi south of sighting,41 35 50.7,73 45 51.3,Oak forest,mowed grass along road,n/a,0,1,0,Dutchess,602989.5621,4605815.013,6/6/2000,1020,41.5974,-73.7642
62,62,EAH,Virginia opossum,Didelphis virginiana,Ramapo,Rt 17,Rt 17 near jct of Rt. 72,,41 08 41.3,74 11 17.3,shrubby marsh with pond,successional woods,pond ~100ft away,0,1,0,Rockland,568132.6902,4555149.07,6/6/2000,1510,41.1448,-74.1881
63,63,EAH,Woodchuck,Marmota monax,Ramapo,Rt 72,Rt 72 just east of county line,,41 09 13.7,74 12 12.3,rockface next to road with s,Oaks on top of rockface,,0,1,0,Rockland,566839.5984,4556136.335,6/6/2000,1520,41.1538,-74.2034
64,64,EAH,Woodchuck,Marmota monax,Tuxedo,Rt 84,"Rt 84, near gas/power right of way",,41 13 55.3,74 12 31.3,"Oaks and Rmaple, some Smaple",,n/a,0,1,0,Orange,566315.924,4564813.624,6/6/2000,1545,41.232,-74.2087
65,65,EAH,Virginia opossum,Didelphis virginiana,Woodbury,Rt 17,Rt 17 northbound near Newburgh Jct.,Point taken .1mi north of sighting; Check township,41 17 50.4,74 08 42.6,"Decid:Smaple, oaks, ash, elm",some SNH and a field,n/a,0,1,0,Orange,571566.3378,4572113.375,6/6/2000,1605,41.2973,-74.1452
66,66,EAH,Eastern gray squirrel,Sciurus carolinensis,Ramapo,Rt 59,Rt 59 at Stage St. near Suffern Park,,41 06 56.3,74 07 28.1,residential,,n/a,0,1,0,Rockland,573502.4873,4551959.182,6/6/2000,1450,41.1156,-74.1245
67,67,EAH,Virginia opossum,Didelphis virginiana,Kent,Taconic Pkwy,Taconic southbound ~1mi n. of Rt. 301,,41 29 6.9,73 48 49.3,Oak forest,"some SNH, some more scrubby/shrub",n/a,0,1,0,Putnam,599035.1514,4593311.451,6/6/2000,1040,41.4853,-73.8137
68,68,EAH,Virginia opossum,Didelphis virginiana,La Grange,Taconic Pkwy,Taconic southbound side .5mi north of Rt21,Point taken .5mi south of sighting,41 37 56.7,73 46 56.2,Oak forest,,n/a,0,1,0,Dutchess,601426.2548,4609679.421,6/6/2000,1015,41.6324,-73.7823
69,69,EAH,Eastern gray squirrel,Sciurus carolinensis,Plattekill,Rt 32,"Rt 32, .4 mi south of Patura Road",,41 38 42.2,74 06 44.2,residential,some woods around the houses,n/a,0,1,0,Ulster,573924.6378,4610753.869,6/6/2000,845,41.6451,-74.1123
70,70,EAH,Eastern gray squirrel,Sciurus carolinensis,Peekskill,Rt 202,Rt 202/35 just est of Peekskill,,41 17 33.3,73 54 3.1,Residential,,n/a,0,1,0,Westchester,592026.7414,4571821.782,6/7/2000,1535,41.2926,-73.9009
71,71,EAH,White-tailed deer,Odocoileus virginianus,Tuxedo,Seven Lakes Drive,"Harriman State Park: Seven Lakes drive, in oak-maple for","Photographed: Jennie's roll #2, exp 4&5",41 16 13.3,74 05 39.6,Oak-Sugar Maple forest,,~200 ft from Lak,1,0,0,Orange,575859.0278,4569170.235,6/7/2000,1430,41.2704,-74.0943
72,72,EAH,White-tailed deer,Odocoileus virginianus,Tuxedo,Harriman Park,"Harriman State Park, woods at west end of Little Long Po",,41 14 14.4,74 7 20.6,Appalachian Oak-Pine,,adjacent to lake,0,0,1,Orange,573542.5384,4565471.44,6/7/2000,1315,41.2373,-74.1224
73,73,EAH,Woodchuck,Marmota monax,Haverstraw,Harriman Park,"Harriman State Park, on the road from Rt 106 to Lake Wel",,41 13 54.1,74 05 04.1,Oak forest,mowed grass along road,1/4 mi to lake,1,0,0,Rockland,576725.1271,4564882.513,6/7/2000,1330,41.2317,-74.0845
74,74,JLB,Striped skunk,Mephitis mephitis,Yorktown,Rt 202,Rt 202/35 1.2 mi west of junction with Rt 132,Plot on map; not too far from FDR state park,data_nad27.shp,data_nad27.shp,Residential/Commercial,,n/a,0,1,0,Westchester,597943.7112,4571708.674,6/7/2000,1550,41.29088502,-73.83026393
75,75,EAH,Eastern chipmunk,Tamias striatus,Tuxedo,Harriman Park,Oak forest in Harriman state park off Rt106 near Little,Check township,41 13 42.2,74 09 6.4,Oak Forest,,n/a,1,0,0,Orange,571088.447,4564458.94,6/7/2000,1300,41.2284,-74.1518
76,76,EAH,Eastern cottontail,Sylvilagus floridanus,Plattekill,Rt 32,Rt 32 just west of I-87,,41 37 18/7,74 05 02.6,deciduous forest: oaks,SNH,n/a,1,0,0,Ulster,576300.4185,4608202.689,6/7/2000,645,41.6219,-74.0841
77,77,EAH,Woodchuck,Marmota monax,Plattekill,Rt 32,Rt 32 south of New Paltz,,41 41 03.7,74 06 08.4,Houses/fields,,n/a,1,0,0,Ulster,574711.9627,4615125.733,6/7/2000,730,41.6844,-74.1023
78,78,EAH,Eastern gray squirrel,Sciurus carolinensis,Marlborough,Rt 10,Rt 10 just east of town line,,41 39 49.6,74 00 19.9,Orchards/houses,,n/a,0,1,0,Ulster,582794.7256,4612927.106,6/7/2000,845,41.6638,-74.0055
79,79,EAH,Virginia opossum,Didelphis virginiana,Newburgh,Rt 9W,Rt 9W ~1/2 mi. north of junction with I-84,"Point taken at I-84&9W, .5mi south of sighting",41 31 14.2,74 01 11.6,Residential,,n/a,0,1,0,Orange,581776.4247,4597014.892,6/7/2000,900,41.5206,-74.0199
80,80,JLB,White-tailed deer,Odocoileus virginianus,Woodbury,Rt 17,"NYS Rt 17, .7 mi west of junction with Thruway",Point taken .7 mi east of sighting,41 19 05.0,74 08 29.9,"Open: fields, grass, road",,n/a,0,1,0,Orange,571844.9049,4574425.504,6/7/2000,1130,41.3181,-74.1416
81,81,EAH,White-tailed deer,Odocoileus virginianus,Lewisboro,Rt 684,"I-684 near Golden's Bridge exit, northbound side",Point taken ~200 ft south of sighting,41 16 43.6,73 40 54.7,SNH,,n/a,0,1,0,Westchester,610387.0801,4570545.013,6/8/2000,635,41.2788,-73.6819
82,82,EAH,Eastern chipmunk,Tamias striatus,Pound Ridge,Honey Hollow Road,Honey Hollow Road within sight of Rt 137,Plot on map,data_nad27.shp,data_nad27.shp,old field,Oak forest,n/a,1,0,0,Westchester,617052.2502,4564347.643,6/8/2000,1045,41.22205305,-73.60352428
83,83,EAH,White-tailed deer,Odocoileus virginianus,Pound Ridge,Boutonville Rd.,WardPound Ridge,Several deer seen throughout park;N 41 15 30.4/W 73,data_nad27.shp,data_nad27.shp,old fields,,,1,0,0,Westchester,618621.3712,4568248.954,6/8/2000,545,41.25695626,-73.58405136
84,84,EAH,Eastern cottontail,Sylvilagus floridanus,Pound Ridge,Boutonville Rd.,"Ward Pound Ridge, main road near office",,41 15 30.4,73 34 28.3,old fields/large grassy area,,small stream nea,1,0,0,Westchester,619418.9296,4568422.323,6/8/2000,545,41.2584,-73.5745
85,85,EAH,Porcupine,Erethizon dorsatum,Hancock,Rt 17,"Rt 17, ~1/2 mi before Hancock exit","Not in Hudson, but I recorded it anyway",41 57 27.4,75 14 38.7,Mixed forest,,n/a,0,1,0,Delaware,479770.7974,4645097.429,6/8/2000,2000,41.9576,-75.2441
86,86,EAH,Woodchuck,Marmota monax,Wallkill,Rt 17,"Rt 17, west side of Orange county",,41 28 08.6,74 22 59.2,,,n/a,0,1,0,Orange,551512.7743,4591017.387,6/8/2000,1815,41.4691,-74.3831
87,87,EAH,Woodchuck,Marmota monax,Orangetown,Rt 9W,"Rt 9W, 1/2 block from S. Highland Aveat Nyack village bo",Plot on map,data_nad27.shp,data_nad27.shp,suburban,urban,n/a,0,1,0,Rockland,589979.6779,4549198.371,6/8/2000,1500,41.08907631,-73.92867154
88,88,EAH,Woodchuck,Marmota monax,Yorktown,FDR State Park,Entrance road into FDR state park from Taconic Parkway,Plot on map,data_nad27.shp,data_nad27.shp,mowed grass along road,,n/a,0,1,0,Westchester,598829.082,4570886.747,6/8/2000,1200,41.28337493,-73.81982555
89,89,EAH,Common raccoon,Procyon lotor,Lewisboro,Rt 684,"I-684 near Golden's Bridge exit, northbound side",,41 16 43.6,73 40 54.7,SNH,,n/a,0,1,0,Westchester,610387.0801,4570545.013,6/8/2000,635,41.2788,-73.6819
90,90,EAH,Common raccoon,Procyon lotor,Bedford,Rt 22,"Rt 22 between Caramoor Ctr and Bedford Ctr, 1.6mi south",Plot on map; juvenile raccoon,data_nad27.shp,data_nad27.shp,Residential,,,0,1,0,Westchester,612530.6977,4564529.095,6/8/2000,1050,41.22432859,-73.65742015
91,91,EAH,Eastern gray squirrel,Sciurus carolinensis,Bedford,Rt 121,Rt 121 .1 mi north of junction with Rt. 22,Plot on map,data_nad27.shp,data_nad27.shp,Wooded residential,,n/a,0,1,0,Westchester,613587.731,4562703.372,6/8/2000,600,41.20773956,-73.64515163
92,92,EAH,Eastern gray squirrel,Sciurus carolinensis,Southeast,Rt 684,I-684 2 mi south of I-84,Plot on map and check township,data_nad27.shp,data_nad27.shp,"SNH, grass along road",,n/a,0,1,0,Putnam,615341.144,4580672.69,6/8/2000,630,41.36930854,-73.62083905
93,93,EAH,Eastern gray squirrel,Sciurus carolinensis,Bedford,Rt 22,Rt 22 in Bedford,Point taken .2 mi north of sighting,41 10 36.0,73 40 0.7,Open: field/shrubs,Residential,n/a,1,0,0,Westchester,611817.1601,4559229.264,6/8/2000,611,41.1767,-73.6669
94,94,EAH,Woodchuck,Marmota monax,Somers,Rt 35,Rt 35 at south end of Amawalk reservoir,Plot on map,data_nad27.shp,data_nad27.shp,Wooded residential/oaks,reservoir,reservoir,0,1,0,Westchester,604382.5811,4571403.117,6/8/2000,1100,41.2873263,-73.75343417
95,95,EAH,Virginia opossum,Didelphis virginiana,Bedford,Rt 22,Rt 22 in Bedford,,41 10 36.0,73 40 0.7,Open: field/shrubs,Residential,n/a,0,1,0,Westchester,611817.1601,4559229.264,6/8/2000,610,41.1767,-73.6669
96,96,EAH,White-tailed deer,Odocoileus virginianus,Lewisboro,Rt 22,Rt 22 near Green Hill and Nash Rd.,Check township,41 18 03.6,73 40 19.9,Residential,,n/a,0,1,0,Westchester,611161.7501,4573022.012,6/8/2000,715,41.301,-73.6722
